<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.24	1.32377	1.32984	1.31050	1.31550	129655	0	0
2017.01.25	1.31553	1.31621	1.30603	1.30677	130589	0	0
2017.01.26	1.30679	1.31295	1.30525	1.30899	128024	0	0
2017.01.27	1.30911	1.31509	1.30875	1.31463	119868	0	0
2017.01.29	1.31230	1.31405	1.31211	1.31289	6078	0	0
2017.01.30	1.31293	1.31682	1.30757	1.31028	112747	0	0
2017.01.31	1.31018	1.31228	1.29681	1.30383	155493	0	0
2017.02.01	1.30393	1.31016	1.30343	1.30483	141084	0	0
2017.02.02	1.30478	1.30479	1.29796	1.30283	126099	0	0
2017.02.03	1.30279	1.30760	1.29917	1.30307	121163	0	0
2017.02.05	1.30269	1.30317	1.30162	1.30183	3941	0	0
2017.02.06	1.30178	1.31348	1.30064	1.30838	108623	0	0
2017.02.07	1.30822	1.32114	1.30772	1.31904	114247	0	0
2017.02.08	1.31910	1.31995	1.31341	1.31462	112312	0	0
2017.02.09	1.31463	1.31676	1.30935	1.31370	100756	0	0
2017.02.10	1.31374	1.31573	1.30620	1.30804	97160	0	0
2017.02.12	1.30810	1.31198	1.30785	1.31173	4552	0	0
2017.02.13	1.31198	1.31207	1.30537	1.30711	76279	0	0
2017.02.14	1.30709	1.31059	1.30239	1.30802	88648	0	0
2017.02.15	1.30799	1.31191	1.30635	1.30686	86683	0	0
2017.02.16	1.30694	1.30791	1.30088	1.30753	83858	0	0
2017.02.17	1.30764	1.31255	1.30592	1.30904	71195	0	0
2017.02.19	1.30950	1.30988	1.30835	1.30886	3673	0	0
2017.02.20	1.30892	1.31186	1.30734	1.31040	51412	0	0
2017.02.21	1.31044	1.31640	1.31020	1.31456	68571	0	0
2017.02.22	1.31453	1.32090	1.31089	1.31634	73250	0	0
2017.02.23	1.31631	1.31695	1.30818	1.31012	69908	0	0
2017.02.24	1.31010	1.31180	1.30511	1.31007	65508	0	0
2017.02.26	1.30977	1.31215	1.30973	1.31191	3212	0	0
2017.02.27	1.31189	1.31909	1.30823	1.31866	69635	0	0
2017.02.28	1.31869	1.33142	1.31639	1.33120	77185	0	0
2017.03.01	1.33131	1.33568	1.32836	1.33534	94849	0	0
2017.03.02	1.33535	1.34011	1.33396	1.33884	73603	0	0
2017.03.03	1.33881	1.34364	1.33713	1.33743	79752	0	0
2017.03.05	1.33782	1.33838	1.33753	1.33814	1825	0	0
2017.03.06	1.33809	1.34237	1.33714	1.33995	69367	0	0
2017.03.07	1.34004	1.34346	1.33825	1.34109	65524	0	0
2017.03.08	1.34105	1.34993	1.33965	1.34881	76034	0	0
2017.03.09	1.34884	1.35340	1.34818	1.35057	99329	0	0
2017.03.10	1.35047	1.35130	1.34204	1.34637	86585	0	0
2017.03.12	1.34551	1.34643	1.34495	1.34597	3441	0	0
2017.03.13	1.34598	1.34754	1.34298	1.34506	70917	0	0
2017.03.14	1.34511	1.34943	1.34384	1.34701	73113	0	0
2017.03.15	1.34716	1.34780	1.32921	1.32951	87928	0	0
2017.03.16	1.32957	1.33517	1.32755	1.33209	82670	0	0
2017.03.17	1.33208	1.33769	1.33032	1.33405	59588	0	0
2017.03.19	1.33438	1.33534	1.33257	1.33337	3076	0	0
2017.03.20	1.33336	1.33718	1.33030	1.33384	62430	0	0
2017.03.21	1.33383	1.33639	1.32630	1.33580	80489	0	0
2017.03.22	1.33588	1.34084	1.33196	1.33328	77096	0	0
2017.03.23	1.33329	1.33565	1.33149	1.33484	65876	0	0
2017.03.24	1.33483	1.33851	1.33463	1.33754	62118	0	0
2017.03.26	1.33592	1.33652	1.33230	1.33288	6072	0	0
2017.03.27	1.33289	1.34027	1.33201	1.33859	66906	0	0
2017.03.28	1.33847	1.34134	1.33533	1.33777	65357	0	0
2017.03.29	1.33773	1.34001	1.33219	1.33313	64306	0	0
2017.03.30	1.33308	1.33510	1.32767	1.33311	67603	0	0
2017.03.31	1.33323	1.33671	1.32835	1.33224	60931	0	0
2017.04.02	1.33073	1.33259	1.32964	1.33259	2643	0	0
2017.04.03	1.33260	1.33988	1.33091	1.33842	52954	0	0
2017.04.04	1.33841	1.34548	1.33744	1.34011	58753	0	0
2017.04.05	1.34012	1.34403	1.33779	1.34352	62528	0	0
2017.04.06	1.34359	1.34500	1.33974	1.34189	59441	0	0
2017.04.07	1.34189	1.34306	1.33413	1.34041	77352	0	0
2017.04.09	1.33968	1.34118	1.33944	1.34072	2670	0	0
2017.04.10	1.34074	1.34254	1.33189	1.33215	56120	0	0
2017.04.11	1.33214	1.33565	1.33093	1.33250	60115	0	0
2017.04.12	1.33256	1.33383	1.32380	1.32434	77387	0	0
2017.04.13	1.32431	1.33375	1.32226	1.33361	67037	0	0
2017.04.14	1.33358	1.33358	1.33093	1.33247	36923	0	0
2017.04.16	1.33140	1.33219	1.33053	1.33126	4685	0	0
2017.04.17	1.33129	1.33281	1.32614	1.33237	54826	0	0
2017.04.18	1.33239	1.33989	1.33133	1.33816	72664	0	0
2017.04.19	1.33815	1.34895	1.33801	1.34824	62054	0	0
2017.04.20	1.34825	1.34989	1.34560	1.34745	61178	0	0
2017.04.21	1.34754	1.35244	1.34573	1.34971	53766	0	0
2017.04.23	1.34830	1.34925	1.34735	1.34840	6703	0	0
2017.04.24	1.34837	1.35536	1.34101	1.35487	69747	0	0
2017.04.25	1.35479	1.36255	1.35425	1.35720	71694	0	0
2017.04.26	1.35735	1.36217	1.35415	1.36192	80036	0	0
2017.04.27	1.36200	1.36695	1.35291	1.36247	83042	0	0
2017.04.28	1.36246	1.36960	1.36244	1.36558	67203	0	0
2017.04.30	1.36579	1.36637	1.36362	1.36410	3583	0	0
2017.05.01	1.36414	1.36859	1.36382	1.36738	43282	0	0
2017.05.02	1.36739	1.37569	1.36493	1.37064	63609	0	0
2017.05.03	1.37069	1.37393	1.36785	1.37267	69681	0	0
2017.05.04	1.37269	1.37757	1.36994	1.37518	78437	0	0
2017.05.05	1.37517	1.37928	1.36412	1.36489	85880	0	0
2017.05.07	1.36528	1.36738	1.36526	1.36686	3640	0	0
2017.05.08	1.36694	1.37329	1.36429	1.36915	74134	0	0
2017.05.09	1.36917	1.37523	1.36697	1.37079	75529	0	0
2017.05.10	1.37098	1.37318	1.36464	1.37108	78637	0	0
2017.05.11	1.37111	1.37693	1.36783	1.37021	71025	0	0
2017.05.12	1.37019	1.37415	1.36647	1.37105	61503	0	0
2017.05.14	1.36983	1.37206	1.36983	1.37175	2609	0	0
2017.05.15	1.37188	1.37214	1.36009	1.36297	71157	0	0
2017.05.16	1.36295	1.36583	1.35741	1.36125	75032	0	0
2017.05.17	1.36121	1.36409	1.35706	1.35994	89445	0	0
2017.05.18	1.35993	1.36687	1.35816	1.36037	99230	0	0
2017.05.19	1.36031	1.36099	1.35078	1.35089	73017	0	0
2017.05.21	1.35099	1.35202	1.35076	1.35171	2903	0	0
2017.05.22	1.35161	1.35401	1.34840	1.34921	57701	0	0
2017.05.23	1.34929	1.35247	1.34552	1.35215	68668	0	0
2017.05.24	1.35226	1.35394	1.34046	1.34131	80414	0	0
2017.05.25	1.34134	1.34927	1.33870	1.34841	87062	0	0
2017.05.26	1.34845	1.34963	1.34321	1.34464	72361	0	0
2017.05.28	1.34455	1.34537	1.34443	1.34528	2258	0	0
2017.05.29	1.34536	1.34758	1.34266	1.34729	40513	0	0
2017.05.30	1.34738	1.35055	1.34506	1.34697	49500	0	0
2017.05.31	1.34696	1.35221	1.34359	1.34900	69588	0	0
2017.06.01	1.34899	1.35265	1.34708	1.35150	67957	0	0
2017.06.02	1.35149	1.35463	1.34812	1.34908	64395	0	0
2017.06.04	1.34888	1.34992	1.34876	1.34980	3492	0	0
2017.06.05	1.34986	1.35002	1.34580	1.34763	58365	0	0
2017.06.06	1.34765	1.34857	1.34362	1.34482	67342	0	0
2017.06.07	1.34483	1.35249	1.34256	1.35103	70144	0	0
2017.06.08	1.35101	1.35303	1.34843	1.35226	74262	0	0
2017.06.09	1.35204	1.35273	1.34217	1.34602	66721	0	0
2017.06.11	1.34564	1.34631	1.34484	1.34553	2745	0	0
2017.06.12	1.34553	1.34695	1.33085	1.33107	68747	0	0
2017.06.13	1.33110	1.33122	1.32106	1.32406	71642	0	0
2017.06.14	1.32405	1.32706	1.31640	1.32417	105348	0	0
2017.06.15	1.32416	1.33076	1.32242	1.32564	86748	0	0
2017.06.16	1.32563	1.32727	1.32092	1.32125	65993	0	0
2017.06.18	1.32100	1.32180	1.32089	1.32135	3318	0	0
2017.06.19	1.32134	1.32566	1.31904	1.32262	64642	0	0
2017.06.20	1.32263	1.32844	1.32034	1.32701	68193	0	0
2017.06.21	1.32700	1.33467	1.32673	1.33268	76465	0	0
2017.06.22	1.33259	1.33372	1.32073	1.32308	72294	0	0
2017.06.23	1.32308	1.33070	1.32096	1.32710	59742	0	0
2017.06.25	1.32585	1.32697	1.32581	1.32588	3181	0	0
2017.06.26	1.32601	1.32649	1.32114	1.32569	62086	0	0
2017.06.27	1.32576	1.32600	1.31466	1.31833	86643	0	0
2017.06.28	1.31827	1.31828	1.30121	1.30382	111716	0	0
2017.06.29	1.30381	1.30427	1.29854	1.29917	88401	0	0
2017.06.30	1.29923	1.29995	1.29455	1.29637	78331	0	0
2017.07.02	1.29678	1.29768	1.29654	1.29753	3357	0	0
2017.07.03	1.29754	1.30129	1.29643	1.29904	56303	0	0
2017.07.04	1.29901	1.30132	1.29115	1.29324	66741	0	0
2017.07.05	1.29333	1.30137	1.29286	1.29608	77511	0	0
2017.07.06	1.29616	1.29825	1.29226	1.29782	76763	0	0
2017.07.07	1.29786	1.29929	1.28588	1.28757	78223	0	0
2017.07.09	1.28747	1.28874	1.28720	1.28812	4096	0	0
2017.07.10	1.28809	1.29318	1.28704	1.28940	65927	0	0
2017.07.11	1.28939	1.29427	1.28844	1.29099	63422	0	0
2017.07.12	1.29100	1.29390	1.26797	1.27486	96471	0	0
2017.07.13	1.27490	1.27700	1.27202	1.27269	75915	0	0
2017.07.14	1.27271	1.27467	1.26431	1.26503	69241	0	0
2017.07.16	1.26449	1.26526	1.26393	1.26415	3778	0	0
2017.07.17	1.26418	1.27003	1.26265	1.26956	67681	0	0
2017.07.18	1.26951	1.26962	1.25802	1.26322	83043	0	0
2017.07.19	1.26319	1.26520	1.25774	1.26005	64724	0	0
2017.07.20	1.25999	1.26397	1.25400	1.25968	82473	0	0
2017.07.21	1.25967	1.26083	1.25213	1.25384	76350	0	0
2017.07.23	1.25393	1.25451	1.25324	1.25327	3023	0	0
2017.07.24	1.25328	1.25515	1.24828	1.25050	73911	0	0
2017.07.25	1.25063	1.25319	1.24803	1.25072	75669	0	0
2017.07.26	1.25074	1.25431	1.24131	1.24509	94641	0	0
2017.07.27	1.24497	1.25754	1.24133	1.25387	94691	0	0
2017.07.28	1.25383	1.25665	1.24186	1.24332	90565	0	0
2017.07.30	1.24277	1.24638	1.24269	1.24619	4509	0	0
2017.07.31	1.24610	1.25282	1.24449	1.25065	92863	0	0
2017.08.01	1.25072	1.25568	1.24501	1.25473	85025	0	0
2017.08.02	1.25474	1.25920	1.25381	1.25714	81665	0	0
2017.08.03	1.25718	1.26177	1.25519	1.25683	80770	0	0
2017.08.04	1.25680	1.26668	1.25546	1.26498	78610	0	0
2017.08.06	1.26543	1.26550	1.26326	1.26422	4941	0	0
2017.08.07	1.26416	1.27138	1.26286	1.26751	62500	0	0
2017.08.08	1.26749	1.27046	1.26501	1.26717	77588	0	0
2017.08.09	1.26718	1.27205	1.26673	1.26948	90144	0	0
2017.08.10	1.26939	1.27455	1.26719	1.27368	89705	0	0
2017.08.11	1.27379	1.27521	1.26519	1.26796	91961	0	0
2017.08.13	1.26651	1.26852	1.26645	1.26730	3236	0	0
2017.08.14	1.26738	1.27299	1.26716	1.27287	73296	0	0
2017.08.15	1.27285	1.27774	1.27177	1.27530	81054	0	0
2017.08.16	1.27528	1.27693	1.26095	1.26238	78549	0	0
2017.08.17	1.26242	1.26902	1.25876	1.26850	79530	0	0
2017.08.18	1.26848	1.26859	1.25563	1.25756	82804	0	0
2017.08.20	1.25604	1.25939	1.25590	1.25853	2999	0	0
2017.08.21	1.25857	1.26062	1.25528	1.25599	66494	0	0
2017.08.22	1.25582	1.25943	1.25252	1.25661	67279	0	0
2017.08.23	1.25665	1.25975	1.25401	1.25424	73485	0	0
2017.08.24	1.25428	1.25602	1.25051	1.25127	67675	0	0
2017.08.25	1.25126	1.25389	1.24649	1.24802	75205	0	0
2017.08.27	1.24748	1.24765	1.24665	1.24736	4169	0	0
2017.08.28	1.24734	1.25336	1.24433	1.25128	57481	0	0
2017.08.29	1.25108	1.25494	1.24404	1.25140	75488	0	0
2017.08.30	1.25129	1.26362	1.24999	1.26299	67644	0	0
2017.08.31	1.26273	1.26620	1.24731	1.24742	78915	0	0
2017.09.01	1.24734	1.24907	1.23392	1.23898	75831	0	0
2017.09.03	1.24162	1.24192	1.23756	1.23775	4404	0	0
2017.09.04	1.23774	1.24252	1.23746	1.24156	43578	0	0
2017.09.05	1.24144	1.24147	1.23351	1.23683	75714	0	0
2017.09.06	1.23685	1.24140	1.21342	1.22347	77825	0	0
2017.09.07	1.22346	1.22405	1.21070	1.21099	85037	0	0
2017.09.08	1.21101	1.21647	1.20609	1.21470	83640	0	0
2017.09.10	1.21523	1.21573	1.21341	1.21509	4080	0	0
2017.09.11	1.21516	1.21696	1.20969	1.21076	62012	0	0
2017.09.12	1.21053	1.21888	1.20815	1.21754	71656	0	0
2017.09.13	1.21745	1.22191	1.21300	1.21675	62199	0	0
2017.09.14	1.21682	1.22389	1.21562	1.21624	78659	0	0
2017.09.15	1.21625	1.22177	1.21189	1.21934	66985	0	0
2017.09.17	1.21899	1.22004	1.21838	1.21979	3191	0	0
2017.09.18	1.21978	1.23374	1.21707	1.22812	68439	0	0
2017.09.19	1.22809	1.23079	1.22542	1.22933	66069	0	0
2017.09.20	1.22920	1.23897	1.21969	1.23433	86980	0	0
2017.09.21	1.23436	1.23669	1.23199	1.23242	67586	0	0
2017.09.22	1.23248	1.23504	1.22533	1.23350	65526	0	0
2017.09.24	1.23293	1.23489	1.23279	1.23454	3598	0	0
2017.09.25	1.23456	1.23842	1.23121	1.23688	66294	0	0
2017.09.26	1.23688	1.24124	1.23293	1.23639	72056	0	0
2017.09.27	1.23639	1.24834	1.23350	1.24826	90664	0	0
2017.09.28	1.24810	1.25184	1.24157	1.24361	81492	0	0
2017.09.29	1.24359	1.25317	1.24161	1.24782	70333	0	0
2017.10.01	1.24849	1.24856	1.24636	1.24719	2761	0	0
2017.10.02	1.24732	1.25237	1.24719	1.25169	60196	0	0
2017.10.03	1.25166	1.25376	1.24797	1.24889	57831	0	0
2017.10.04	1.24894	1.24975	1.24478	1.24801	59942	0	0
2017.10.05	1.24803	1.25840	1.24612	1.25678	65728	0	0
2017.10.06	1.25678	1.25981	1.25248	1.25315	70426	0	0
2017.10.08	1.25292	1.25411	1.25256	1.25360	2529	0	0
2017.10.09	1.25363	1.25579	1.25249	1.25537	40717	0	0
2017.10.10	1.25542	1.25543	1.24826	1.25112	68237	0	0
2017.10.11	1.25108	1.25297	1.24473	1.24503	64103	0	0
2017.10.12	1.24490	1.24897	1.24322	1.24758	62848	0	0
2017.10.13	1.24754	1.25190	1.24516	1.24717	61322	0	0
2017.10.15	1.24642	1.24853	1.24642	1.24781	3080	0	0
2017.10.16	1.24782	1.25573	1.24691	1.25240	56514	0	0
2017.10.17	1.25226	1.25900	1.24963	1.24972	62611	0	0
2017.10.18	1.24978	1.25328	1.24573	1.24653	72873	0	0
2017.10.19	1.24650	1.24934	1.24499	1.24799	68134	0	0
2017.10.20	1.24796	1.26292	1.24758	1.26250	72431	0	0
2017.10.22	1.26163	1.26374	1.26162	1.26368	3542	0	0
2017.10.23	1.26361	1.26592	1.26129	1.26397	46459	0	0
2017.10.24	1.26400	1.26922	1.26212	1.26709	62932	0	0
2017.10.25	1.26710	1.28159	1.26322	1.27961	73439	0	0
2017.10.26	1.27951	1.28568	1.27806	1.28491	66941	0	0
2017.10.27	1.28489	1.29158	1.28130	1.28156	77108	0	0
2017.10.29	1.28170	1.28317	1.28162	1.28298	3034	0	0
2017.10.30	1.28291	1.28603	1.28111	1.28255	52157	0	0
2017.10.31	1.28258	1.29139	1.28221	1.28913	58654	0	0
2017.11.01	1.28914	1.29095	1.28536	1.28729	67101	0	0
2017.11.02	1.28705	1.28711	1.27981	1.28069	59882	0	0
2017.11.03	1.28071	1.28346	1.27142	1.27604	52921	0	0
2017.11.05	1.27611	1.27661	1.27593	1.27610	1702	0	0
2017.11.06	1.27611	1.27818	1.27018	1.27136	48465	0	0
2017.11.07	1.27141	1.28186	1.27093	1.27623	54159	0	0
2017.11.08	1.27613	1.27738	1.27145	1.27269	48659	0	0
2017.11.09	1.27268	1.27398	1.26670	1.26788	57562	0	0
2017.11.10	1.26787	1.26951	1.26653	1.26800	50970	0	0
2017.11.12	1.26852	1.26924	1.26822	1.26922	2948	0	0
2017.11.13	1.26923	1.27408	1.26773	1.27361	44180	0	0
2017.11.14	1.27350	1.27725	1.27000	1.27373	57222	0	0
2017.11.15	1.27370	1.27885	1.27123	1.27661	69169	0	0
2017.11.16	1.27662	1.27828	1.27275	1.27572	56477	0	0
2017.11.17	1.27571	1.28228	1.27129	1.27736	71781	0	0
2017.11.19	1.27649	1.27950	1.27648	1.27929	5879	0	0
2017.11.20	1.27951	1.28200	1.27541	1.28133	65255	0	0
2017.11.21	1.28131	1.28359	1.27482	1.27728	68404	0	0
2017.11.22	1.27729	1.27749	1.26929	1.27058	66447	0	0
2017.11.23	1.27062	1.27271	1.26720	1.27119	56738	0	0
2017.11.24	1.27128	1.27466	1.26927	1.27143	60680	0	0
2017.11.26	1.27020	1.27153	1.27020	1.27148	1842	0	0
2017.11.27	1.27146	1.27700	1.26793	1.27579	62731	0	0
2017.11.28	1.27581	1.28238	1.27537	1.28138	67648	0	0
2017.11.29	1.28128	1.28737	1.28038	1.28640	70687	0	0
2017.11.30	1.28646	1.29084	1.28497	1.28927	71051	0	0
2017.12.01	1.28924	1.28971	1.26824	1.26877	93581	0	0
2017.12.03	1.26983	1.27190	1.26905	1.27181	3849	0	0
2017.12.04	1.27181	1.27262	1.26555	1.26763	62569	0	0
2017.12.05	1.26764	1.27037	1.26228	1.26942	58856	0	0
2017.12.06	1.26943	1.28065	1.26525	1.27870	59779	0	0
2017.12.07	1.27871	1.28672	1.27863	1.28567	49748	0	0
2017.12.08	1.28569	1.28789	1.28036	1.28492	51575	0	0
2017.12.10	1.28497	1.28634	1.28487	1.28607	1712	0	0
2017.12.11	1.28605	1.28679	1.28301	1.28528	51255	0	0
2017.12.12	1.28530	1.28917	1.28123	1.28691	57987	0	0
2017.12.13	1.28687	1.28793	1.27911	1.28183	77266	0	0
2017.12.14	1.28176	1.28651	1.27129	1.27946	88352	0	0
2017.12.15	1.27944	1.28936	1.27384	1.28711	83447	0	0
2017.12.17	1.28677	1.28751	1.28658	1.28746	3627	0	0
2017.12.18	1.28751	1.28806	1.28415	1.28658	61379	0	0
2017.12.19	1.28649	1.29194	1.28494	1.28791	73944	0	0
2017.12.20	1.28790	1.28798	1.28179	1.28264	68607	0	0
2017.12.21	1.28250	1.28383	1.26987	1.27379	74586	0	0
2017.12.22	1.27381	1.27954	1.26970	1.27277	71833	0	0
2017.12.24	1.27092	1.27123	1.27092	1.27092	7	0	0
2017.12.25	1.27102	1.27386	1.26969	1.27151	2509	0	0
2017.12.26	1.27154	1.27272	1.26814	1.26876	38335	0	0
2017.12.27	1.26874	1.26948	1.26266	1.26505	68184	0	0
2017.12.28	1.26511	1.26523	1.25607	1.25649	66499	0	0
2017.12.29	1.25636	1.25886	1.25140	1.25823	79183	0	0
2018.01.01	1.25243	1.25585	1.25243	1.25558	4246	0	0
2018.01.02	1.25546	1.25560	1.24992	1.25060	67256	0	0
2018.01.03	1.25056	1.25530	1.24988	1.25461	68163	0	0
2018.01.04	1.25462	1.25544	1.24823	1.24903	78129	0	0
2018.01.05	1.24910	1.25123	1.23545	1.24121	74992	0	0
2018.01.07	1.24103	1.24103	1.23936	1.23938	1888	0	0
2018.01.08	1.23943	1.24488	1.23775	1.24142	60214	0	0
2018.01.09	1.24153	1.24770	1.23973	1.24735	71334	0	0
2018.01.10	1.24730	1.25545	1.24269	1.25323	75104	0	0
2018.01.11	1.25330	1.25891	1.25146	1.25216	74577	0	0
2018.01.12	1.25221	1.25553	1.24607	1.24618	71496	0	0
2018.01.14	1.24640	1.24670	1.24363	1.24604	2611	0	0
2018.01.15	1.24605	1.24704	1.24018	1.24276	70953	0	0
2018.01.16	1.24279	1.24517	1.23963	1.24249	65182	0	0
2018.01.17	1.24246	1.25401	1.23659	1.24430	86250	0	0
2018.01.18	1.24411	1.24859	1.23992	1.24105	76615	0	0
2018.01.19	1.24101	1.25075	1.23991	1.24977	70122	0	0
2018.01.21	1.24747	1.24958	1.24746	1.24852	1868	0	0
2018.01.22	1.24860	1.24958	1.24341	1.24524	50508	0	0
2018.01.23	1.24521	1.24905	1.24114	1.24144	69754	0	0
2018.01.24	1.24159	1.24243	1.23160	1.23501	86186	0	0
2018.01.25	1.23495	1.23905	1.22814	1.23783	109398	0	0
2018.01.26	1.23784	1.23834	1.22923	1.23252	93445	0	0
2018.01.28	1.23143	1.23311	1.23115	1.23117	2723	0	0
2018.01.29	1.23138	1.23605	1.23097	1.23347	78973	0	0
2018.01.30	1.23343	1.23784	1.23090	1.23347	82502	0	0
2018.01.31	1.23349	1.23472	1.22495	1.23040	94674	0	0
2018.02.01	1.23037	1.23308	1.22549	1.22584	90026	0	0
2018.02.02	1.22581	1.24363	1.22568	1.24259	100918	0	0
2018.02.04	1.24370	1.24500	1.24296	1.24334	4004	0	0
2018.02.05	1.24329	1.25429	1.23967	1.25324	107927	0	0
2018.02.06	1.25333	1.25664	1.24918	1.25044	152566	0	0
2018.02.07	1.25050	1.25769	1.24961	1.25661	103540	0	0
2018.02.08	1.25648	1.26133	1.25454	1.25884	122454	0	0
2018.02.09	1.25902	1.26859	1.25596	1.25798	122019	0	0
2018.02.11	1.25879	1.25963	1.25852	1.25875	2172	0	0
2018.02.12	1.25874	1.26222	1.25551	1.25798	73802	0	0
2018.02.13	1.25807	1.26243	1.25656	1.25882	73494	0	0
2018.02.14	1.25895	1.26483	1.24792	1.24815	94406	0	0
2018.02.15	1.24828	1.25365	1.24648	1.24816	90602	0	0
2018.02.16	1.24804	1.25670	1.24498	1.25513	82203	0	0
2018.02.18	1.25583	1.25638	1.25494	1.25564	2028	0	0
2018.02.19	1.25576	1.25914	1.25267	1.25668	57332	0	0
2018.02.20	1.25670	1.26509	1.25581	1.26478	76892	0	0
2018.02.21	1.26485	1.27022	1.26246	1.26987	79555	0	0
2018.02.22	1.26985	1.27546	1.26709	1.27137	75161	0	0
2018.02.23	1.27142	1.27248	1.26154	1.26435	66567	0	0
2018.02.25	1.26386	1.26517	1.26365	1.26474	2536	0	0
2018.02.26	1.26462	1.27108	1.26143	1.26843	59379	0	0
2018.02.27	1.26842	1.27767	1.26674	1.27707	72643	0	0
2018.02.28	1.27694	1.28410	1.27610	1.28345	68681	0	0
2018.03.01	1.28346	1.28946	1.28080	1.28305	91523	0	0
2018.03.02	1.28308	1.29149	1.28191	1.28828	83740	0	0
2018.03.04	1.28669	1.28975	1.28669	1.28871	2379	0	0
2018.03.05	1.28866	1.30000	1.28773	1.29801	81852	0	0
2018.03.06	1.29800	1.29942	1.28616	1.29476	96284	0	0
2018.03.07	1.29478	1.30001	1.28890	1.29043	107218	0	0
2018.03.08	1.29050	1.29603	1.28666	1.28955	97121	0	0
2018.03.09	1.28954	1.29080	1.28102	1.28107	87201	0	0
2018.03.11	1.28095	1.28176	1.28088	1.28120	2209	0	0
2018.03.12	1.28121	1.28450	1.28025	1.28422	62845	0	0
2018.03.13	1.28435	1.29836	1.28294	1.29560	81624	0	0
2018.03.14	1.29562	1.29750	1.29202	1.29543	81207	0	0
2018.03.15	1.29543	1.30665	1.29449	1.30523	78767	0	0
2018.03.16	1.30543	1.30980	1.30468	1.30960	63648	0	0
2018.03.18	1.30895	1.30972	1.30892	1.30927	2654	0	0
2018.03.19	1.30940	1.31239	1.30461	1.30816	79703	0	0
2018.03.20	1.30810	1.31025	1.30524	1.30736	65883	0	0
2018.03.21	1.30735	1.30753	1.28894	1.28962	85157	0	0
2018.03.22	1.28976	1.29474	1.28289	1.29293	90623	0	0
2018.03.23	1.29293	1.29346	1.28233	1.28926	91097	0	0
2018.03.25	1.28831	1.28877	1.28726	1.28799	3363	0	0
2018.03.26	1.28801	1.29215	1.28357	1.28358	70930	0	0
2018.03.27	1.28365	1.29020	1.28145	1.28794	84754	0	0
2018.03.28	1.28793	1.29323	1.28625	1.29171	96188	0	0
2018.03.29	1.29178	1.29374	1.28610	1.28870	78764	0	0
2018.03.30	1.28878	1.28994	1.28597	1.28919	26414	0	0
2018.04.01	1.28951	1.28968	1.28809	1.28927	1486	0	0
2018.04.02	1.28940	1.29426	1.28619	1.29214	61169	0	0
2018.04.03	1.29208	1.29211	1.27806	1.28063	78008	0	0
2018.04.04	1.28060	1.28469	1.27515	1.27539	91896	0	0
2018.04.05	1.27549	1.28059	1.27442	1.27696	80758	0	0
2018.04.06	1.27690	1.27950	1.27323	1.27734	87154	0	0
2018.04.08	1.27622	1.27834	1.27593	1.27826	3306	0	0
2018.04.09	1.27830	1.28183	1.26873	1.27027	75621	0	0
2018.04.10	1.27035	1.27050	1.25875	1.25933	77567	0	0
2018.04.11	1.25934	1.26227	1.25437	1.25696	72641	0	0
2018.04.12	1.25696	1.26216	1.25611	1.25882	75114	0	0
2018.04.13	1.25876	1.26167	1.25515	1.26126	62442	0	0
2018.04.15	1.25943	1.26072	1.25913	1.26024	2486	0	0
2018.04.16	1.26026	1.26226	1.25624	1.25669	61882	0	0
2018.04.17	1.25666	1.25786	1.25266	1.25574	63131	0	0
2018.04.18	1.25560	1.26587	1.25480	1.26266	70521	0	0
2018.04.19	1.26272	1.26754	1.25849	1.26657	76500	0	0
2018.04.20	1.26665	1.27580	1.26322	1.27566	72073	0	0
2018.04.22	1.27497	1.27697	1.27473	1.27682	1740	0	0
2018.04.23	1.27676	1.28571	1.27498	1.28444	68098	0	0
2018.04.24	1.28420	1.28603	1.28119	1.28210	76615	0	0
2018.04.25	1.28214	1.28967	1.28202	1.28365	73228	0	0
2018.04.26	1.28367	1.28846	1.28205	1.28718	80407	0	0
2018.04.27	1.28712	1.28996	1.28253	1.28356	63972	0	0
2018.04.29	1.28346	1.28447	1.28323	1.28412	1967	0	0
2018.04.30	1.28411	1.28739	1.28046	1.28324	67051	0	0
2018.05.01	1.28329	1.29131	1.28199	1.28450	73591	0	0
2018.05.02	1.28449	1.28873	1.28027	1.28836	86418	0	0
2018.05.03	1.28821	1.29078	1.28158	1.28499	89704	0	0
2018.05.04	1.28492	1.29166	1.28353	1.28500	65030	0	0
2018.05.06	1.28451	1.28563	1.28451	1.28561	2443	0	0
2018.05.07	1.28557	1.28987	1.28389	1.28799	63131	0	0
2018.05.08	1.28805	1.29966	1.28754	1.29469	87812	0	0
2018.05.09	1.29468	1.29740	1.28245	1.28491	76529	0	0
2018.05.10	1.28471	1.28491	1.27418	1.27708	87201	0	0
2018.05.11	1.27703	1.27990	1.27286	1.27984	68159	0	0
2018.05.13	1.27754	1.27926	1.27748	1.27801	2071	0	0
2018.05.14	1.27802	1.28116	1.27496	1.28005	63421	0	0
2018.05.15	1.28005	1.29237	1.27913	1.28716	82426	0	0
2018.05.16	1.28720	1.28754	1.27773	1.27833	81943	0	0
2018.05.17	1.27837	1.28461	1.27489	1.28351	83490	0	0
