<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.03	1.33486	1.33992	1.32925	1.33468	145633	0	0
2015.12.04	1.33462	1.34152	1.33167	1.33614	139984	0	0
2015.12.06	1.33689	1.33914	1.33636	1.33891	3675	0	0
2015.12.07	1.33894	1.35230	1.33839	1.35087	101777	0	0
2015.12.08	1.35087	1.36214	1.35026	1.35790	134033	0	0
2015.12.09	1.35790	1.36191	1.35161	1.35670	132262	0	0
2015.12.10	1.35665	1.36392	1.35315	1.36329	118639	0	0
2015.12.11	1.36330	1.37570	1.36310	1.37510	109524	0	0
2015.12.13	1.37186	1.37443	1.37177	1.37372	4028	0	0
2015.12.14	1.37367	1.37802	1.36761	1.37274	141874	0	0
2015.12.15	1.37271	1.37652	1.36722	1.37287	122301	0	0
2015.12.16	1.37280	1.38470	1.37272	1.37929	130990	0	0
2015.12.17	1.37929	1.39858	1.37822	1.39283	125008	0	0
2015.12.18	1.39279	1.40006	1.38535	1.39466	119711	0	0
2015.12.20	1.39350	1.39494	1.39267	1.39423	1305	0	0
2015.12.21	1.39424	1.39928	1.39122	1.39497	105614	0	0
2015.12.22	1.39498	1.39634	1.39089	1.39191	89359	0	0
2015.12.23	1.39190	1.39356	1.38349	1.38524	87634	0	0
2015.12.24	1.38530	1.38736	1.38142	1.38160	59362	0	0
2015.12.25	1.38172	1.38249	1.38124	1.38135	957	0	0
2015.12.27	1.38174	1.38428	1.38133	1.38377	3752	0	0
2015.12.28	1.38390	1.39149	1.38257	1.38944	61174	0	0
2015.12.29	1.38946	1.39392	1.38153	1.38354	68832	0	0
2015.12.30	1.38355	1.39263	1.38283	1.38731	85849	0	0
2015.12.31	1.38729	1.39024	1.38208	1.38309	60562	0	0
2016.01.03	1.38168	1.38759	1.38168	1.38731	3338	0	0
2016.01.04	1.38729	1.39824	1.38492	1.39357	111810	0	0
2016.01.05	1.39356	1.40183	1.38972	1.39868	105925	0	0
2016.01.06	1.39869	1.41077	1.39787	1.40673	127294	0	0
2016.01.07	1.40684	1.41689	1.40498	1.41038	150069	0	0
2016.01.08	1.41041	1.41767	1.40575	1.41718	121069	0	0
2016.01.10	1.41647	1.41873	1.41537	1.41828	3766	0	0
2016.01.11	1.41847	1.42446	1.40642	1.42223	116711	0	0
2016.01.12	1.42223	1.43146	1.41756	1.42552	134876	0	0
